nickname,full_name
Wenyen Gabriel,Wenyen Gabriel
Jamorko Pickett,Jamorko Pickett
LeBron James,LeBron James
Paul George,Paul George
Devin Booker,Devin Booker
Kent Bazemore,Kent Bazemore
Javin DeLaurier,Javin DeLaurier
Daishen Nix,Daishen Nix
Andrew Wiggins,Andrew Wiggins
D.J. Carton,D.J. Carton
Jimmy Butler,Jimmy Butler
Rajon Rondo,Rajon Rondo
Georgios Kalaitzakis,Georgios Kalaitzakis
Oshae Brissett,Oshae Brissett
Jaxson Hayes,Jaxson Hayes
Romeo Langford,Romeo Langford
Trey Lyles,Trey Lyles
Theo Pinson,Theo Pinson
Neemias Queta,Neemias Queta
Josh Giddey,Josh Giddey
Robert Williams III,Robert Williams III
E'Twaun Moore,E'Twaun Moore
Trevor Ariza,Trevor Ariza
Dwight Howard,Dwight Howard
Joe Wieskamp,Joe Wieskamp
Dante Exum,Dante Exum
Jordan Poole,Jordan Poole
MJ Walker,MJ Walker
Sam Merrill,Sam Merrill
Javonte Green,Javonte Green
Robert Woodard II,Robert Woodard II
Jarrett Allen,Jarrett Allen
Chuma Okeke,Chuma Okeke
Theo Maledon,Theo Maledon
DeJon Jarreau,DeJon Jarreau
Malik Fitts,Malik Fitts
Will Barton,Will Barton
Karl-Anthony Towns,Karl-Anthony Towns
James Johnson,James Johnson
Mamadi Diakite,Mamadi Diakite
D.J. Wilson,D.J. Wilson
Derrick Walton Jr.,Derrick Walton Jr.
Cam Reddish,Cam Reddish
Jarrett Culver,Jarrett Culver
Kai Jones,Kai Jones
Moritz Wagner,Moritz Wagner
Anthony Davis,Anthony Davis
Rui Hachimura,Rui Hachimura
Vlatko Cancar,Vlatko Cancar
Skylar Mays,Skylar Mays
Omer Yurtseven,Omer Yurtseven
Gordon Hayward,Gordon Hayward
Denzel Valentine,Denzel Valentine
Joe Harris,Joe Harris
D.J. Augustin,D.J. Augustin
Brodric Thomas,Brodric Thomas
Keita Bates-Diop,Keita Bates-Diop
Jamal Murray,Jamal Murray
Kemba Walker,Kemba Walker
Grant Riller,Grant Riller
De'Andre Hunter,De'Andre Hunter
Kelly Olynyk,Kelly Olynyk
Mfiondu Kabengele,Mfiondu Kabengele
Zion Williamson,Zion Williamson
KZ Okpala,KZ Okpala
Arnoldas Kulboka,Arnoldas Kulboka
Anthony Lamb,Anthony Lamb
Jordan Schakel,Jordan Schakel
Trevelin Queen,Trevelin Queen
Austin Reaves,Austin Reaves
Nassir Little,Nassir Little
Nikola Vucevic,Nikola Vucevic
Jared Harper,Jared Harper
Clint Capela,Clint Capela
P.J. Washington,P.J. Washington
Tre Mann,Tre Mann
Dru Smith,Dru Smith
Donovan Mitchell,Donovan Mitchell
Cameron Payne,Cameron Payne
Brian Bowen II,Brian Bowen II
Harry Giles III,Harry Giles III
Jay Scrubb,Jay Scrubb
Moses Brown,Moses Brown
Johnny O'Bryant III,Johnny O'Bryant III
Kevin Porter Jr.,Kevin Porter Jr.
KJ Martin,KJ Martin
Bol Bol,Bol Bol
Jae Crowder,Jae Crowder
Otto Porter Jr.,Otto Porter Jr.
Domantas Sabonis,Domantas Sabonis
Jaime Echenique,Jaime Echenique
Julius Randle,Julius Randle
Charles Bassey,Charles Bassey
Trey Murphy III,Trey Murphy III
Ivica Zubac,Ivica Zubac
Trey Burke,Trey Burke
Hassani Gravett,Hassani Gravett
Tyler Cook,Tyler Cook
Juwan Morgan,Juwan Morgan
Nicolas Batum,Nicolas Batum
T.J. McConnell,T.J. McConnell
Brandon Ingram,Brandon Ingram
Anthony Edwards,Anthony Edwards
Admiral Schofield,Admiral Schofield
David Nwaba,David Nwaba
Nathan Knight,Nathan Knight
Kevin Durant,Kevin Durant
Thanasis Antetokounmpo,Thanasis Antetokounmpo
Udonis Haslem,Udonis Haslem
Derrick Jones Jr.,Derrick Jones Jr.
Frank Jackson,Frank Jackson
Dario Saric,Dario Saric
Joel Ayayi,Joel Ayayi
Rodney Hood,Rodney Hood
Justin Robinson,Justin Robinson
Kentavious Caldwell-Pope,Kentavious Caldwell-Pope
Bryn Forbes,Bryn Forbes
Abdel Nader,Abdel Nader
Rob Edwards,Rob Edwards
Marvin Bagley III,Marvin Bagley III
Moses Moody,Moses Moody
Isaiah Roby,Isaiah Roby
Stanley Johnson,Stanley Johnson
Jeff Green,Jeff Green
Didi Louzada,Didi Louzada
JaMychal Green,JaMychal Green
Jordan McLaughlin,Jordan McLaughlin
Petr Cornelie,Petr Cornelie
Ayo Dosunmu,Ayo Dosunmu
